id,name,type,party,age,sex
MP,Matthias Platzeck,0,3,4,2
RP,Ronald Pofalla,0,1,4,2
BP,Barbara Praetorius,0,NA,NA,1
ST,Stanislaw Tillich,0,1,4,2
GH,Gerda Hasselfeldt,0,2,4,1
SKam,Steffen Kampeter,0,1,3,2
SKap,Stefan Kapferer,0,5,3,2
DK,Dieter Kempf,0,NA,4,2
CN,Claudia Nemat,0,NA,3,1
KR,Katherina Reiche,0,1,2,1
GR,Gunda Röstel,0,4,3,1
ES,Eric Schweitzer,0,5,3,2
AG,Antje Grothus,0,NA,3,1
HW,Hannelore Wodtke,0,1,NA,1
CH,Christine Herntier,0,6,4,1
MKr,Michael Kreuzberg,0,1,4,2
RPr,Reiner Priggen,0,4,4,2
MV,Michael Vassiliadis,0,3,3,2
AS,Andreas Scheidt,0,3,3,2
SKoer,Stefan Körzell,0,3,3,2
MKa,Martin Kaiser,0,NA,3,2
HW,Hubert Weiger,0,NA,5,2
KN,Kai Niebert,0,NA,1,2
JA,Jutta Allmendinger,0,3,4,1
FM,Felix Matthes,0,NA,4,2
HJS,Hans Joachim Schellnhuber,0,NA,4,2
AN,Annekathrin Niebuhr,0,NA,NA,1
RW,Ralf Wehrspohn,0,NA,2,2
ALae,Andreas Lämmel,0,1,3,2
ALen,Andreas Lenz,0,2,1,2
MM,Matthias Miersch,0,3,2,2
1,Politik,1,NA,NA,NA
2,Verband,1,NA,NA,NA
3,Gewerkschaft,1,NA,NA,NA
4,Umweltschutz,1,NA,NA,NA
5,Industrie,1,NA,NA,NA
6,Energieunternehmen,1,NA,NA,NA
7,Wissenschaft,1,NA,NA,NA
8,Regionalvertreter,1,NA,NA,NA
9,CDU,1,NA,NA,NA
10,CSU,1,NA,NA,NA
11,SPD,1,NA,NA,NA
12,Gruene,1,NA,NA,NA
13,FDP,1,NA,NA,NA